ID	Gloss	abvd	alpher	asjp	dolgopolsky	ids	ielex	jachontov	jachontov100	jachontov65	leipzig	matisoff	starostin	swadesh100	swadesh200
15	fire	fire <143>	fire <29>	fire <37>	-	fire <1.81>	fire <167>	fire <28>	-	-	-	fire <73>	fire <28>	fire <28>	fire <49>
16	hand	hand <1>	hand <38>	hand <10>	-	hand <4.33>	hand <83>	hand <37>	-	-	-	hand/arm <12>	hand <37>	hand <37>	hand <66>
17	blood	blood <23>	blood <7>	blood <1>	-	blood <4.15>	blood <64>	blood <9>	-	-	-	blood <2>	blood <9>	blood <9>	blood <16>
18	liver	liver <17>	liver <49>	liver <34>	-	liver <4.45>	liver <91>	-	-	-	-	liver <16>	liver <48>	liver <48>	liver <91>
19	person	person/human being <53>	person, Aborigine <63>	person <31>	-	person, human being <2.1>	man (human being) <38>	-	-	-	-	person/human being <40>	person <64>	person <64>	person <111>
20	stone	stone <120>	stone <81>	stone <8>	-	-	stone <156>	stone <81>	-	-	-	stone <89>	stone <81>	stone <81>	stone <154>
21	die (V)	to die, be dead <75>	to die <104>	die <17>	-	-	to die <109>	die <17>	-	-	-	die <132>	die <17>	die <17>	to die <28>
22	star	star <130>	star <80>	star <4>	-	star <1.54>	star <149>	-	-	-	-	star <87>	star <80>	star <80>	star <152>
23	see (V)	to see <46>	to see <66>	see <35>	-	see <15.51>	to see <101>	-	-	-	-	see <149>	see <72>	see <72>	see <130>
24	tail	tail <105>	tail <83>	-	-	tail <4.18>	tail <69>	tail <84>	-	-	-	tail <22>	tail <84>	tail <84>	tail <160>
25	sun	-	sun <82>	sun <12>	-	sun <1.52>	sun <147>	sun <82>	-	-	-	sun(day <90>	sun <82>	sun <82>	sun <157>
26	hear (V)	to hear <44>	hear <41>	hear <14>	-	hear <15.41>	to hear <102>	-	-	-	-	ear/hear <4>	hear <39>	hear <39>	to hear <69>
27	egg	egg <98>	egg <21>	-	-	egg <5.97>	egg <67>	egg <24>	-	-	-	egg <5>	egg <24>	egg <24>	egg <39>
28	one	One <197>	one <62>	one <23>	-	-	one <22>	one <63>	-	-	-	one <116>	one <63>	one <63>	one <109>
29	new	new <163>	-	new <11>	-	new <14.13>	new <183>	new <59>	-	-	-	new <172>	new <59>	new <59>	new <104>
30	leaf	leaf <114>	leaf <47>	leaf <30>	-	leaf <8.56>	leaf <56>	-	-	-	-	leaf <77>	leaf <46>	leaf <46>	leaf <86>
31	skin	skin <12>	skin <69>	skin <39>	-	flay, skin <9.29>	skin (of a person) <62>	-	-	-	-	skin/bark <20>	skin <75>	skin <75>	skin (person's) <137>
32	foot	leg/foot <4>	foot <32>	-	-	foot <4.37>	foot <80>	-	-	-	-	foot <8>	foot <31>	foot <31>	foot <57>
33	burn (V)	to burn <144>	to burn (intr.) <10>	-	-	burn (vb trans) <1.851>	to burn (intransitive) <169>	-	-	-	-	drive/hunt <200>	burn tr. <12>	burn tr. <12>	to burn (intrans) <20>
34	sit (V)	to sit <51>	to sit <68>	-	-	sit <12.13>	to sit <124>	-	-	-	-	sit <136>	sit <74>	sit <74>	sit <136>
35	night	night <167>	-	night (dark time) <15>	-	night <14.42>	night <177>	-	-	-	-	night <100>	night <60>	night <60>	night <105>
36	heart	-	heart <42>	-	heart <8>	heart <4.44>	heart <90>	-	-	-	-	heart <14>	heart <40>	heart <40>	heart <70>
37	wind	wind <136>	wind <98>	-	-	wind <1.72>	wind (as in breeze) <163>	wind <108>	-	-	-	wind <93>	wind <108>	-	wind <191>
38	long	long <155>	long <50>	-	-	long <12.57>	long <28>	-	-	-	-	long/tall <158>	long <49>	long <49>	long <92>
39	black	black <147>	black <6>	-	-	black <15.65>	black <176>	-	-	-	-	black <170>	black <8>	black <8>	black <15>
40	tree	-	tree <89>	tree <24>	-	tree (cf 08.600) <1.42>	tree <51>	-	-	-	-	tree/wood <91>	tree <90>	tree <90>	tree <174>
41	breast	breast <18>	breast <9>	breast (woman’s) <9>	-	breast (of woman) <4.41>	breast <89>	-	-	-	-	vagina or breast/milk <30>	breast <11>	breast <11>	-
42	ashes	ashes <146>	ashes <2>	-	-	ashes <1.84>	ashes <168>	-	-	-	-	ashes <70>	ashes <2>	ashes <2>	ashes <4>
43	eat (V)	to eat <37>	to eat <20>	-	-	eat <5.11>	to eat <93>	-	-	-	-	eat <175>	eat <23>	eat <23>	to eat <38>
44	mouth	mouth <30>	mouth <55>	-	-	mouth <4.24>	mouth <76>	-	-	-	-	mouth <17>	mouth <56>	mouth <56>	mouth <99>
45	head	head <24>	head <39>	-	-	head <4.2>	head <72>	-	-	-	-	head <13>	head <38>	head <38>	head <68>
46	know (V)	to know, be knowledgeable <20>	-	-	-	know <17.17>	to know (a fact) <103>	know <45>	-	-	-	know <145>	know <45>	know <45>	to know (facts) <83>
47	who	who? <189>	who? <97>	-	who/what <4>	-	who <11>	who <98>	-	-	-	-	who <98>	who <98>	who? <188>
48	smoke	smoke <145>	smoke <73>	-	-	smoke (noun) <1.83>	smoke <166>	-	-	-	-	smoke <86>	smoke <78>	smoke <78>	smoke (of fire) <142>
49	moon	moon <129>	moon <54>	-	-	moon <1.53>	moon <148>	moon <54>	-	-	-	moon <78>	moon <54>	moon <54>	-
50	cloud	cloud <131>	cloud <136>	-	-	cloud <1.73>	cloud <160>	-	-	-	-	cloud <71>	cloud <14>	cloud <14>	cloud <22>
51	what	what? <188>	what? <95>	-	who/what <4>	-	what <12>	what <96>	-	-	-	-	what <96>	what <96>	what? <184>
52	give (V)	-	to give <35>	-	-	give back <11.22>	to give <128>	give <33>	-	-	-	give <177>	give <33>	give <33>	to give <60>
53	meat	meat/flesh <103>	meat, animal <53>	-	-	meat <5.61>	meat (as in flesh) <63>	-	-	-	-	meat/animal <52>	meat <53>	meat (flesh) <53>	meat (flesh) <96>
54	we	we <185>	-	we <36>	-	we (exclusive) <2.942>	we <4>	-	-	-	-	-	we <95>	we <95>	we <182>
55	feather	feather <99>	wing feather <129>	-	-	feather <4.393>	feather (rather not down) <70>	-	-	-	-	-	feather <27>	feather <27>	feather (larger feathers rather than down) <46>
56	snake	snake <106>	snake <74>	-	-	snake <3.85>	snake <49>	-	-	-	-	snake <57>	snake <106>	-	snake <144>
57	full	-	-	full <6>	-	full <13.21>	full <182>	full <32>	-	-	-	full <157>	full <32>	full <32>	-
58	good	good <164>	good <110>	-	-	good <16.71>	good <185>	-	-	-	-	-	good <34>	good <34>	good <61>
59	white	white <148>	-	-	-	white <15.64>	white <175>	-	-	-	-	white <169>	white <97>	white <97>	white <187>
60	kill (V)	to kill <74>	-	-	-	kill <4.76>	to kill <110>	-	-	-	-	kill <192>	kill <43>	kill <43>	to kill <82>
61	root	root <115>	-	-	-	root <8.54>	root <57>	-	-	-	-	root <83>	root <68>	root <68>	root <121>
62	woman	woman/female <55>	woman <99>	-	-	woman <2.22>	woman <36>	-	-	-	-	-	woman <99>	woman <99>	woman <195>
63	far	far <180>	far <26>	-	-	far (adv) <12.44>	far <198>	-	-	-	-	far <112>	far <101>	-	far <42>
64	red	red <149>	-	-	-	red <15.66>	red <172>	-	-	-	-	red <163>	red <66>	red <66>	red <116>
65	cold	cold <139>	-	-	-	cold <15.86>	cold (as in weather) <181>	-	-	-	-	cold <160>	cold <15>	cold <15>	cold (of weather) <23>
66	sand	sand <121>	sand <138>	-	-	sand <1.215>	sand <157>	-	-	-	-	-	sand <70>	sand <70>	sand <126>
67	belly	belly <14>	belly <3>	-	-	-	belly <85>	-	-	-	-	belly(exterior) <1>	belly <4>	belly <4>	belly <10>
68	come (V)	to come <7>	-	come <13>	-	come <10.48>	to come <122>	-	-	-	-	-	come <16>	come <16>	to come <24>
69	salt	salt <125>	-	-	-	salt <5.81>	salt <155>	salt <104>	-	-	-	salt <84>	salt <104>	-	salt <125>
70	neck	neck <25>	-	-	-	neck <4.28>	neck <87>	-	-	-	-	neck <18>	neck <58>	neck <58>	neck <103>
71	big	big <153>	big <4>	-	-	large, big <12.55>	big <27>	-	-	-	-	-	big <5>	big <5>	big <12>
72	dry	dry <140>	dry (N, Adj) <143>	-	-	dry <15.84>	dry (adjective) <195>	-	-	-	-	-	dry <20>	dry <20>	dry (substance) <33>
73	warm	warm <138>	-	-	-	warm <15.851>	warm (as in weather) <180>	-	-	-	-	warm <165>	warm <93>	warm (hot) <93>	warm (of weather) <179>
74	year	year <169>	-	-	-	year <14.73>	year <179>	year <110>	-	-	-	year <114>	year <110>	-	year <199>
75	road	road/path <6>	-	-	-	road <10.71>	road <170>	-	-	-	-	road <82>	road <67>	road <67>	road (or trail) <120>
76	horn	-	-	horn (animal part) <18>	-	horn, trumpet <18.73>	horn <68>	horn <41>	-	-	-	horn <15>	horn <41>	horn <41>	-
77	earth	earth/soil <119>	-	-	-	earth, land <1.21>	earth (as in soil) <159>	-	-	-	-	earth <72>	earth <22>	earth <22>	earth (soil) <37>
78	bird	bird <97>	-	-	-	bird <3.581>	bird <46>	-	-	-	-	bird <53>	bird <6>	bird <6>	bird <13>
79	stand (V)	to stand <52>	to be standing <79>	-	-	-	to stand <125>	-	-	-	-	stand <135>	stand <79>	stand <79>	to stand <151>
80	this	this <177>	this <85>	-	-	-	this <7>	this <86>	-	-	-	-	this <86>	this <86>	this <167>
81	heavy	heavy <142>	heavy <140>	-	-	heavy <15.81>	heavy <31>	-	-	-	-	heavy <164>	heavy <102>	-	heavy <71>
82	near	near <179>	near <116>	-	-	near (adv) <12.43>	near <197>	-	-	-	-	near <113>	near <103>	-	near <102>
83	human being	person/human being <35>	-	-	-	person, human being <2.1>	man (human being) <38>	-	-	-	-	person/human being <40>	person <64>	person <64>	person <111>
84	many	-	many <52>	-	-	much, many <13.15>	many <18>	-	-	-	-	(be) many (v.) <127>	many <52>	many <52>	many <95>
85	bark	-	-	-	-	bark <8.75>	bark (of tree) <58>	-	-	-	-	skin/bark <20>	bark <3>	bark <3>	bark <8>
86	small	small <152>	small <71>	-	-	-	small <32>	-	-	-	-	-	small <77>	small <77>	small <140>
87	grass	grass <118>	grass <134>	-	-	grass <8.51>	grass <60>	-	-	-	-	grass <76>	-	-	grass <62>
88	thin	thin <156>	-	-	-	thin (in dimension) <12.65>	thin <35>	-	-	-	-	thin <151>	thin <107>	-	thin <165>
89	knee	-	knee <46>	knee <26>	-	knee <4.36>	knee <82>	-	-	-	-	-	knee <44>	knee <44>	-
90	fly (V)	to fly <101>	-	-	-	-	to fly <120>	-	-	-	-	fly <140>	fly v. <30>	fly <30>	to fly <55>
91	green	green <151>	-	-	-	green <15.68>	green <173>	-	-	-	-	-	green <35>	green <35>	green <63>
92	yellow	yellow <150>	-	-	-	yellow <15.69>	yellow <174>	-	-	-	-	-	yellow <100>	yellow <100>	yellow <200>
93	swim (V)	to swim <9>	-	-	-	swim <10.35>	to swim <119>	-	-	-	-	-	swim <83>	swim <83>	to swim <159>
94	sky	sky <128>	sky <70>	-	-	sky <1.51>	sky <162>	-	-	-	-	sky <85>	-	-	sky <138>
95	not	no, not <195>	-	-	verbal negation <10>	-	not <16>	-	-	-	-	-	not <62>	not <62>	not <107>
96	bite (V)	to bite <41>	-	-	-	-	to bite <94>	-	-	-	-	bite <181>	bite <7>	bite <7>	to bite <14>
97	man	man/male <54>	-	-	-	man (vs. woman) <2.21>	man (adult male) <37>	-	-	-	-	-	man <51>	man <51>	man (male human) <94>
98	drink (V)	to drink <40>	-	drink (verb) <25>	-	-	to drink <92>	-	-	-	-	-	drink <19>	drink <19>	drink <32>
99	hair	hair <26>	-	-	-	hair (head) <4.14>	hair <71>	-	-	-	-	-	hair <36>	hair <36>	hair <65>
100	short	short <154>	short <67>	-	-	short <12.59>	short <33>	-	-	-	-	-	short <105>	-	short <134>
101	three	Three <199>	three <115>	-	-	three <13.3>	three <24>	-	-	-	-	three <121>	-	-	three <169>
102	say (V)	to say <64>	-	-	-	say <18.22>	to say <140>	-	-	-	-	-	say <71>	say <71>	say <127>
103	mountain	-	-	mountain <3>	-	-	mountain <171>	-	-	-	-	mountain <79>	mountain <55>	mountain <55>	mountain <98>
104	all	all <191>	-	-	-	-	all <17>	-	-	-	-	-	all <1>	all <1>	all (of a number) <1>
105	flower	flower <116>	-	-	-	flower <8.57>	flower <59>	-	-	-	-	flower <74>	-	-	flower <54>
106	bad	bad, evil <165>	bad <111>	-	-	bad <16.72>	bad <186>	-	-	-	-	-	-	-	bad (deleterious or unsuitable) <7>
107	fall (V)	to fall <95>	to fall <25>	-	-	fall <10.23>	to fall (as in drop) <127>	-	-	-	-	-	-	-	to fall (drop rather than topple) <41>
108	cut (V)	to cut, hack <78>	to cut <15>	-	-	-	to cut <114>	-	-	-	-	drive/hunt <200>	-	-	to cut <26>
109	five	Five <201>	-	-	-	five <13.5>	five <26>	-	-	-	-	five <123>	-	-	five <51>
110	sleep (V)	-	-	-	-	-	to sleep <107>	-	-	-	-	sleep/lie down <129>	sleep <76>	sleep <76>	sleep <139>
111	lie 1 (V)	to lie down <49>	-	-	-	-	to lie (as on one's side) <123>	-	-	-	-	-	lie <47>	lie <47>	to lie <89>
112	wing	wing <100>	-	-	-	wing <4.392>	wing <84>	-	-	-	-	wing <25>	-	-	wing <192>
113	walk (V)	to walk <5>	-	-	-	-	to walk <121>	-	-	-	-	-	walk(go) <92>	walk <92>	to walk <178>
114	thick	thick <157>	-	-	-	thick (in dimension) <12.63>	thick <30>	-	-	-	-	thick <171>	-	-	thick <164>
115	claw	-	-	-	-	claw <4.345>	fingernail <79>	-	-	-	-	nail/claw <26>	claw (nail) <13>	claw (nail) <13>	-
116	old	old <162>	-	-	-	old <14.15>	old <184>	-	-	-	-	old <152>	-	-	old <108>
117	rotten	rotten <112>	rotten <65>	-	-	rotten <5.125>	rotten (as, a log) <187>	-	-	-	-	-	-	-	rotten (especially log) <123>
118	throw (V)	to throw <94>	to throw <107>	-	-	throw <10.25>	to throw <136>	-	-	-	-	-	-	-	to throw <170>
119	day	day <168>	-	-	-	day <14.41>	day (daytime) <178>	-	-	-	-	sun(day <90>	-	-	day (opposite of night rather than time measure) <27>
120	vomit (V)	to vomit <35>	-	-	-	vomit <4.57>	to vomit <97>	-	-	-	-	vomit <37>	-	-	to vomit <177>
121	child	child <56>	-	-	-	child <2.27>	child (a youth) <39>	-	-	-	-	child/son <43>	-	-	child (young person rather than as relationship term) <21>
122	laugh (V)	to laugh <33>	to laugh <109>	-	-	-	to laugh <100>	-	-	-	-	laugh <131>	-	-	to laugh <85>
123	sew (V)	to sew <67>	-	-	-	sew <6.35>	to sew <138>	-	-	-	-	sew <191>	-	-	to sew <132>
124	fruit	fruit <117>	-	-	-	fruit <5.71>	fruit <54>	-	-	-	-	fruit <75>	-	-	berry (or fruit) <11>
125	smell (V)	to sniff, smell <29>	to smell it <72>	-	-	-	to smell (sense odor) <105>	-	-	-	-	smell <150>	-	-	to smell (perceive odor) <141>
126	worm	worm (earthworm) <107>	-	-	-	worm <3.84>	worm <50>	-	-	-	-	-	worm <109>	-	worm <197>
127	animal	-	meat, animal <53>	-	-	animal <3.11>	animal <44>	-	-	-	-	meat/animal <52>	-	-	animal <3>
128	sharp	sharp <81>	-	-	-	sharp <15.78>	sharp (as a knife) <191>	-	-	-	-	sharp <173>	-	-	sharp (as knife) <133>
129	you	you <186>	-	you <40>	-	you (plural) <2.95>	you <5>	-	-	-	-	-	-	-	ye <198>
130	dig (V)	to dig <90>	to dig <112>	-	-	-	to dig <118>	-	-	-	-	dig <186>	-	-	to dig <29>
131	seed	-	-	-	-	seed <8.311>	seed <55>	-	-	-	-	-	seed <73>	seed <73>	seed <131>
132	round	-	-	-	-	round <12.81>	round <190>	-	-	-	-	round <166>	round <69>	round <69>	-
133	that	that <178>	-	-	-	-	that <8>	-	-	-	-	-	that <85>	that <85>	that <161>
134	hunt (V)	to hunt <69>	-	-	-	-	to hunt (transitive) <112>	-	-	-	-	drive/hunt <200>	-	-	to hunt (game) <76>
135	dull	dull, blunt <82>	-	-	-	blunt, dull <15.79>	dull (as a knife) <192>	-	-	-	-	-	-	-	dull (knife) <34>
136	fat	fat/grease <104>	fat, grease <27>	-	-	-	fat (noun) <66>	-	-	-	-	fat/grease <7>	-	-	-
137	lake	lake <126>	-	-	-	lake <1.33>	lake <153>	-	-	-	-	-	-	-	lake <84>
138	wife	wife <58>	-	-	-	married woman <2.39>	wife <40>	-	-	-	-	-	-	-	wife <190>
139	squeeze (V)	to squeeze <88>	-	-	-	-	to squeeze <130>	-	-	-	-	squeeze <195>	-	-	to squeeze <149>
140	father	father <60>	-	-	-	father <2.35>	father <43>	-	-	-	-	-	-	-	father <44>
141	forest	woods/forest <127>	-	-	-	woods, forest <1.41>	forest <52>	-	-	-	-	-	-	-	woods <196>
142	left side	left <2>	-	-	-	-	left (side) <200>	-	-	-	-	left side <110>	-	-	left (hand) <87>
143	wash (V)	-	-	-	-	wash <9.36>	to wash <132>	-	-	-	-	wash <185>	-	-	to wash <180>
144	stab (V)	to stab, pierce <71>	-	-	-	stab <9.223>	to stab (or stick) <116>	-	-	-	-	-	-	-	to stab (or stick) <150>
145	breathe (V)	to breathe <28>	-	-	-	breathe, breath <4.51>	to breathe <99>	-	-	-	-	-	-	-	to breathe <19>
146	blow (V)	to blow <137>	-	-	-	-	to blow (as wind) <98>	-	-	-	-	blow <189>	-	-	to blow (of wind) <17>
147	leg	leg/foot <4>	-	-	-	leg <4.35>	leg <81>	-	-	-	-	-	-	-	leg <88>
148	fat	-	-	-	-	grease, fat <5.791>	-	-	-	-	-	-	fat n. <26>	fat (grease) <26>	fat (organic substance) <43>
149	four	Four <200>	-	-	-	-	four <25>	-	-	-	-	four <122>	-	-	four <58>
150	narrow	narrow <158>	-	-	-	narrow <12.62>	narrow <34>	-	-	-	-	-	-	-	narrow <101>
151	tie (V)	-	-	-	-	tie, bind <9.16>	to tie <137>	-	-	-	-	tie <178>	-	-	to tie <171>
152	he	he/she <184>	he <118>	-	-	-	he <3>	-	-	-	-	-	-	-	he <67>
153	they	they <187>	-	-	-	they <2.96>	they <6>	-	-	-	-	-	-	-	they <163>
154	wet	wet <141>	-	-	-	wet, damp <15.83>	wet <194>	-	-	-	-	-	-	-	wet <183>
155	mother	mother <59>	-	-	-	mother <2.36>	mother <42>	-	-	-	-	-	-	-	mother <97>
156	right side	right <3>	-	-	-	-	right (side) <199>	-	-	-	-	right side <111>	-	-	right (hand) <118>
157	climb (V)	to climb <172>	to climb <13>	-	-	climb <10.472>	-	-	-	-	-	climb, ascend <138>	-	-	-
158	dirty	dirty <10>	-	-	-	dirty, soiled <15.88>	dirty <188>	-	-	-	-	-	-	-	dirty <30>
159	rain	rain <133>	rain <145>	-	-	rain (noun) <1.75>	-	-	-	-	-	rain <80>	-	-	-
160	scratch (V)	to scratch <77>	-	-	-	-	to scratch (an itch) <117>	-	-	-	-	scratch(scrape <182>	-	-	to scratch (as with fingernails to relieve itch) <128>
161	suck (V)	to suck <42>	-	-	-	suck <5.16>	to suck <95>	-	-	-	-	-	-	-	to suck <156>
162	stick	stick/wood <79>	-	-	-	-	stick (of wood) <53>	-	-	-	-	stick <88>	-	-	stick (of wood) <153>
163	sea	sea <124>	-	-	-	sea <1.32>	sea (as in ocean) <154>	-	-	-	-	-	-	-	sea (ocean) <129>
164	husband	husband <57>	-	-	-	married man <2.38>	husband <41>	-	-	-	-	-	-	-	husband <77>
165	fog	fog <132>	-	-	-	fog <1.74>	fog <161>	-	-	-	-	-	-	-	fog <56>
166	rain (V)	-	-	-	-	-	to rain <151>	-	-	-	-	-	rain <65>	rain <65>	to rain <115>
167	live (V)	to live, be alive <76>	-	-	-	dwell, live <7.11>	to live <108>	-	-	-	-	-	-	-	to live <90>
168	think (V)	to think <21>	-	-	-	think (= be of the opinion) <17.14>	to think <104>	-	-	-	-	-	-	-	to think <166>
169	count (V)	to count <196>	-	-	-	count <13.107>	to count <139>	-	-	-	-	-	-	-	to count <25>
170	hit (V)	to hit <72>	to hit (with hand) <43>	-	-	-	to hit <113>	-	-	-	-	-	-	-	to hit <73>
171	back	back <13>	-	-	-	back <4.19>	back <88>	-	-	-	-	-	-	-	back (person's) <6>
172	dust	dust <11>	-	-	-	dust <1.213>	dust <158>	-	-	-	-	-	-	-	dust <35>
173	where	where? <181>	where? <96>	-	-	-	where <13>	-	-	-	-	-	-	-	where? <186>
174	rat	rat <102>	-	-	-	mouse, rat <3.63>	-	-	-	-	-	rat/rodent <69>	-	-	-
175	heavy	-	-	-	-	-	-	-	2951 <36>	2951 <24>	2951 <72>	-	-	-	-
176	pull (V)	-	-	-	-	pull <9.33>	to pull <134>	-	-	-	-	-	-	-	to pull <113>
177	split (V)	to split <80>	-	-	-	-	to split <115>	-	-	-	-	-	-	-	to split <148>
178	not	-	-	-	-	-	-	-	4105 <58>	4105 <38>	4105 <56>	-	-	-	-
179	and	and <192>	-	-	-	-	and <204>	-	-	-	-	-	-	-	and <2>
180	shoulder	shoulder <19>	shoulder <101>	-	-	shoulder <4.3>	-	-	-	-	-	-	-	-	-
181	if	if <193>	-	-	-	-	if <205>	-	-	-	-	-	-	-	if <80>
182	turn (V)	to turn <8>	-	-	-	-	to turn (change direction) <126>	-	-	-	-	-	-	-	to turn (change one's direction) <175>
183	long	-	-	-	-	-	-	-	3639 <44>	3639 <29>	3639 <78>	-	-	-	-
184	rope	rope <65>	-	-	-	-	rope <61>	-	-	-	-	-	-	-	rope <122>
185	breast	-	-	-	-	-	-	-	687 <8>	687 <6>	687 <12>	-	-	-	-
186	needle	needle <68>	-	-	-	needle <6.36>	-	-	-	-	-	needle <104>	-	-	-
187	flow (V)	to flow <123>	-	-	-	-	to flow <144>	-	-	-	-	-	-	-	to flow <53>
188	path	road/path <6>	-	path <27>	-	path <10.72>	-	-	-	-	-	-	-	-	-
189	wood	stick/wood <79>	-	-	-	wood <1.43>	-	-	-	-	-	tree/wood <91>	-	-	-
190	at	at <173>	-	-	-	-	at <201>	-	-	-	-	-	-	-	at <5>
191	bird	-	-	-	-	-	-	-	527 <4>	527 <4>	527 <93>	-	-	-	-
192	mouth	-	-	-	-	-	-	-	3968 <51>	3968 <34>	3968 <5>	-	-	-	-
193	finger-nail	-	fingernail <28>	-	finger-nail/toe-nail <11>	fingernail <4.344>	-	-	-	-	-	-	-	-	-
194	sand	-	-	-	-	-	-	-	5245 <67>	5245 <45>	5245 <60>	-	-	-	-
195	ice	-	-	-	-	ice <1.77>	ice <165>	-	-	-	-	-	-	-	ice <79>
196	run (V)	-	to run <105>	-	-	run <10.46>	-	-	-	-	-	run/flee <142>	-	-	-
197	far	-	-	-	-	-	-	-	2216 <21>	2216 <14>	2216 <24>	-	-	-	-
198	hundred	One Hundred <209>	-	-	-	hundred <13.105>	-	-	-	-	-	hundred <119>	-	-	-
199	dream	to dream <50>	dream (N) <122>	-	-	dream <4.62>	-	-	-	-	-	-	-	-	-
200	black	-	-	-	-	-	-	-	541 <5>	541 <5>	541 <43>	-	-	-	-
201	small	-	-	-	-	-	-	-	5644 <74>	5644 <52>	5644 <95>	-	-	-	-
202	snow	-	-	-	-	snow (noun) <1.76>	snow <164>	-	-	-	-	-	-	-	snow <145>
203	straight	-	-	-	-	straight <12.73>	straight <189>	-	-	-	-	-	-	-	straight <155>
204	liver	-	-	-	-	-	-	-	3613 <43>	3613 <28>	3613 <66>	-	-	-	-
205	river	-	-	-	-	-	river <152>	-	-	-	-	river/valley <81>	-	-	river <119>
206	soft	-	soft <142>	-	-	soft <15.75>	-	-	-	-	-	soft(to touch) <168>	-	-	-
207	rain	-	-	-	-	-	-	-	4856 <61>	4856 <40>	4856 <13>	-	-	-	-
208	cook (V)	to cook <39>	-	-	-	cook <5.21>	-	-	-	-	-	cook/boil <183>	-	-	-
209	rub (V)	-	-	-	-	-	to rub <131>	-	-	-	-	rub <194>	-	-	to rub <124>
210	grease	fat/grease <104>	fat, grease <27>	-	-	-	-	-	-	-	-	fat/grease <7>	-	-	-
211	leaf	-	-	-	-	-	-	-	3493 <42>	3493 <27>	3493 <64>	-	-	-	-
212	mosquito	mosquito <109>	mosquito <133>	-	-	mosquito <3.832>	-	-	-	-	-	-	-	-	-
213	star	-	-	-	-	-	-	-	5883 <78>	5883 <56>	5883 <97>	-	-	-	-
214	some	-	-	-	-	some <13.181>	some <19>	-	-	-	-	-	-	-	some <146>
215	fear (V)	-	-	-	-	-	to fear <106>	-	-	-	-	fear/frighten <144>	-	-	to fear <45>
216	sing (V)	-	-	-	-	sing <18.12>	to sing <141>	-	-	-	-	-	-	-	to sing <135>
217	buy (V)	to buy <91>	-	-	-	buy <11.81>	-	-	-	-	-	buy <190>	-	-	-
218	smooth	-	-	-	-	smooth <15.77>	smooth <193>	-	-	-	-	-	-	-	smooth <143>
219	branch	branch <113>	-	-	-	branch <8.55>	-	-	-	-	-	branch <94>	-	-	-
220	other	other <190>	-	-	-	-	other <21>	-	-	-	-	-	-	-	other <110>
221	root	-	-	-	-	-	-	-	5152 <64>	5152 <43>	5152 <10>	-	-	-	-
222	neck	-	-	-	-	-	-	-	4046 <54>	4046 <36>	4046 <23>	-	-	-	-
223	house	house <61>	-	-	-	house <7.12>	-	-	-	-	-	house <105>	-	-	-
224	steal (V)	to steal <73>	-	-	-	steal <21.51>	-	-	-	-	-	steal <179>	-	-	-
225	twenty	Twenty <207>	-	-	-	twenty <13.104>	-	-	-	-	-	twenty/score <115>	-	-	-
226	spit (V)	to spit <36>	-	-	-	-	to spit <96>	-	-	-	-	-	-	-	to spit <147>
